0;2674122;911493;3483515;2343174;1701795;1379031;329767;315628;3282399;1385218;928932;1827353;1994080;651344;783108;2379215;1127800;1805140;1791630;2074960;369444;888885;3023602;2230764;3493737;2178750;1541080;2155284;1970454;544702;2645010;989669;1923479;4091141;1176347;1813053;411023;2445160;457149;2007886;2854367;2050914;682328;4173450;1196982;1034751;1689810;2828183;
2672281;0;1822674;872864;904100;3913972;3629046;2717677;2899811;1282529;2537214;2745344;2152173;1299443;2997547;1991660;4626988;3321725;3936812;3100098;2964740;2350602;2208486;1689036;1320436;883085;4265502;3754072;792101;3970320;3027590;1910279;2875209;1072182;1997083;3370272;4051832;3028154;1653797;2890503;1032146;920448;4081898;3060068;2079393;3574721;3342732;2828215;1390470;
909860;1825543;0;2634936;1494596;2317114;1994350;1089720;1137390;2576604;1247929;1183964;1141125;1145502;1235126;405134;2994534;1650118;2420459;1746336;1675456;588181;585941;2433552;1506982;2645158;2794068;2156399;1306706;2427446;1265170;1958782;1358624;1074900;3385346;1698665;2428371;1265733;1758932;1128083;1394291;2005789;2539023;1297647;3467655;1812301;1650070;1538930;2122388;
3479656;871393;2630049;0;1531825;4614074;4403148;3525052;3707186;1253644;3078250;3490404;2693209;1946197;3804922;2799035;5273550;4129100;4583372;3641134;3505777;3157976;3015860;1783062;1748964;193077;4912064;4431658;1599476;4616882;3834965;2213725;3620268;1879557;1274146;4067106;4764516;3835528;1945091;3697878;1704907;1315503;4662411;3867442;1539548;4382096;4150107;3369251;1544642;
2456191;904325;1606584;1528479;0;3184849;2973924;2636050;2443045;1225804;1649025;2061179;1263985;492401;2381494;1714308;3844325;2652544;3154148;2211909;2076552;2085528;1641433;1206950;432248;1430576;3482839;3002433;398496;3187657;2569624;1082644;2191044;518636;1940359;2637882;3335292;2580315;765608;2432538;1003057;495713;3233186;2539536;2022668;2883907;2673552;1940026;736495;
1721825;3903509;2336290;4588468;3159138;0;374608;2030860;1479585;3921871;1643312;1201987;2235140;2766032;1226445;2376699;731362;766071;97363;1717204;2322610;1812204;1848161;3528768;2870236;4394960;496766;178927;3238624;318372;1307792;2977134;1061944;2969021;4730613;719185;222329;1363201;2917029;1349643;3472257;3508843;416883;1094754;4727532;546682;811630;1923659;3467655;
1376393;3619584;1990859;4410644;2981314;369019;0;1637618;1134153;3744048;1465489;918062;2057316;2482106;881013;2031267;1022189;449734;467616;1736166;2144786;1466772;1564236;3350945;2692413;4217137;821724;257620;2954699;632930;962360;2799310;826316;2685096;4552790;402849;456026;1017769;2739206;1004211;3170289;3331020;741840;749322;4549708;187443;475036;1745836;3289832;
331727;2816674;1093793;3626067;2538784;1999600;1676836;0;591481;3464699;1599668;1211083;2009653;2176380;963277;753740;2677020;1439733;2102945;2006080;2289410;552013;1071184;3205902;2413064;3636288;2476555;1838885;2297836;2268259;815425;2827310;1247389;2105778;4273440;1488280;2110858;681746;2627460;727872;2066815;3036667;2348719;994261;4355750;1494787;1346684;1904260;3010482;
313860;2903817;1141188;3713210;2446287;1460565;1137801;588473;0;3331477;1337263;729394;1876431;1982564;409814;1042246;2137985;886570;1563910;1708558;2016561;514468;884443;3072680;2279842;3723432;1937520;1299850;2384979;1729224;252421;2694088;790131;2153174;4140219;935117;1571823;177624;2494238;181187;2267024;2842851;1809684;441098;4222528;955752;793521;1617610;2877261;
3270365;1282684;2573957;1255374;1229509;3948156;3737230;3450225;3329119;0;2412332;2882105;1914757;1484346;3267568;2917923;4607632;3426662;3917455;2476276;2302801;2971602;2527508;755998;1105101;1084113;4246146;3765740;1501025;3950964;3455699;1237250;2962066;1634946;1025544;3403175;4098599;3466390;1320950;3318612;2032963;727478;3996493;3425610;1107854;3647214;3514205;2374553;485115;
1371372;2515170;1220196;3055760;1626430;1666830;1455905;1584495;1348005;2389163;0;669641;561090;1289045;1143651;1491544;2326307;1224880;1636130;668769;783628;1101045;700158;1866568;1337529;2862252;1964821;1484415;1878482;1669639;1362144;1395293;690187;1584820;3197905;1121849;1817273;1372834;1288125;1222690;2224749;1976136;1781216;1317903;3065331;1365888;1312362;397123;1748305;
927827;2736154;1195700;3491729;2062399;1203923;918997;1208841;743167;2882116;675863;0;1212182;1598676;538813;1371325;1916940;579853;1226762;1047158;1355160;836656;680806;2561319;1830481;3355205;1555453;1044023;2071269;1260271;757306;2009684;125736;1801666;3690858;611998;1341782;767996;1939217;617852;2304902;2469088;1371848;672937;3773167;840927;667396;956209;2427900;
1815504;2152650;1125290;2693238;1263909;2245557;2034632;1995364;1874259;1914549;563204;1213365;0;916598;1675206;1557692;2905034;1757922;2214856;920337;784980;1516741;1072647;1300208;975008;2499732;2543547;2063142;1515961;2248365;1893699;921615;1259468;1253739;2552176;1700576;2396000;1904390;721764;1754245;1876213;1613615;2140427;1833248;2498971;1944615;1845465;648454;1391029;
1993616;1308225;1144009;1946688;493080;2767232;2482306;2173476;1980470;1484738;1305497;1598605;920457;0;1918919;1487975;3480249;2189970;2790072;1868382;1733024;1622953;1178859;1341687;462837;1848786;3118763;2607332;553128;2823580;2107050;1004131;1728469;411179;2293480;2175307;2905092;2117740;677121;1969963;1038291;913923;2935158;2076962;2375789;2404236;2210977;1596499;1030522;
650804;3027899;1265270;3837292;2382232;1210292;887528;959839;408303;3267422;1148105;540236;1674962;1918510;0;1305678;1887712;582251;1313637;1519401;1827403;741183;986288;3008626;2215788;3713660;1687247;1049577;2391102;1478951;245901;2481927;553081;2121500;4076164;630798;1321550;291920;2430183;278622;2444700;2778797;1559411;190825;4158473;705479;494690;1428452;2813206;
781836;1980117;406377;2789510;1702227;2352856;2030092;753064;1042313;2918316;1466650;1347187;1570837;1487214;1302406;0;3030276;1778862;2456202;1950793;2105168;661915;745391;2775265;1848694;2799732;2829811;2192142;1461279;2621516;1261347;2388494;1453381;1269725;3727058;1827409;2464114;1137708;2049034;1163825;1253126;2162567;2701976;1333390;3809367;1848043;1685812;1822492;2464100;
2404842;4607426;3019307;5292384;3863054;743202;1050235;2713876;2162601;4625788;2347228;1905903;2939056;3469948;1909462;3059715;0;1449088;690038;1899848;3026526;2495221;2552078;4232685;3574153;5098876;377574;882843;3942540;665783;1990809;3681050;1765861;3672938;5434529;1402202;616393;2046218;3620945;2032660;4176173;4212760;541192;1777771;5431448;1222309;1494646;2627575;4171571;
1128704;3316236;1648355;4083105;2653775;747286;449319;1437739;886464;3427774;1197134;580290;1788962;2190053;583008;1768871;1424706;0;846952;1467812;1876432;1162225;1257831;3082590;2376139;3900863;1224240;586571;2662645;990892;742083;2530956;492489;2393042;4236516;86643;858543;770080;2470851;756522;2827785;3014746;1071352;501633;4281354;274822;106961;1477481;2973557;
1816590;3926670;2389462;4576260;3146931;94938;478163;2125624;1574349;3909664;1631105;1225147;2222933;2789192;1321210;2471464;684007;860836;0;1688947;2310403;1906969;1871321;3516562;2858030;4382753;395450;276442;3261784;282813;1402557;2964927;1085104;2992181;4718406;813950;222245;1457966;2904822;1444408;3495417;3496636;315567;1189519;4715325;658877;906394;1911452;3455448;
1796508;3101109;1806073;3641698;2212368;1720308;1727891;2009631;1722546;2476180;665560;1044182;870603;1874984;1518192;1980311;1900735;1496865;1689607;0;546766;1589813;1239044;1861838;1923467;3448191;1697406;1756400;2464421;1655866;1736685;1310203;1041795;2170698;3113806;1393835;1870751;1747375;1602099;1597231;2810626;2562074;1500017;1656039;3060601;1637874;1610562;314491;2151348;
2064052;2965560;1670524;3506149;2076819;2214125;2137169;2277175;2029269;2302614;783953;1350905;735054;1739434;1824915;2102926;2394552;1906143;2183424;547958;0;1861212;1460325;1688272;1787918;3312642;2191223;2165679;2328872;2149683;2043408;1136638;1371451;2035148;2940240;1803113;2364568;2054098;1466550;1903954;2675077;2426525;1993834;1999166;2887036;2047152;1993626;449711;2028560;
