56,20,2349,2706
56,21,2589,2974
56,22,2087,2238
56,23,1960,2130
56,24,1901,2209
56,25,1841,2106
56,26,1116,1169
56,27,1081,1228
56,28,373,319
56,29,2777,3174
56,30,2479,2881
56,31,1102,1235
56,32,2584,2962
56,33,2288,2632
56,34,1333,1468
56,35,2083,2386
56,36,1277,1414
56,37,643,622
56,38,2302,2656
56,39,2651,3066
56,40,2283,2630
56,41,1205,1352
56,42,2210,2546
56,43,1149,1287
56,44,898,936
56,45,2650,3063
56,46,2289,2646
56,47,748,790
56,48,2417,2808
56,49,2397,2750
56,50,1905,2221
56,51,950,1013
56,52,2520,2911
56,53,333,381
56,54,1814,2132
56,55,2669,3099
56,56,0,0
56,57,1492,1729
56,58,2473,2876
56,59,1607,1926
56,60,2123,2472
56,61,2597,3111
56,62,2039,2397
56,63,733,808
56,64,641,753
56,65,1729,2042
56,66,1081,1269
56,67,441,501
56,68,1750,2053
56,69,2100,2461
56,70,2423,2898
56,71,1537,1805
56,72,503,569
56,73,2442,2842
56,74,633,736
57,1,620,715
57,3,881,985
57,4,340,350
57,5,1301,1486
57,6,764,792
57,7,1476,1665
57,8,1260,1444
57,9,651,723
57,10,786,880
57,12,1376,1522
57,13,849,928
57,14,864,979
57,15,739,840
57,16,643,708
57,17,882,974
57,18,221,249
57,19,1864,2082
57,20,1088,1230
57,21,1506,1690
57,22,1253,1299
57,23,1115,1205
57,24,510,570
57,25,568,585
57,26,1309,1433
57,27,858,954
57,28,1320,1494
57,29,1740,1908
57,30,1364,1561
57,31,652,656
57,32,1541,1705
57,33,896,994
57,34,1147,1229
57,35,915,1045
57,36,566,539
57,37,1806,2025
57,38,1102,1260
57,39,1506,1714
57,40,832,939
57,41,981,1086
57,42,818,907
57,43,541,545
57,44,1146,1157
57,45,1639,1778
57,46,897,1008
57,47,1847,2077
57,48,1157,1331
57,49,1118,1243
57,50,1014,1120
57,51,1129,1240
57,52,1366,1554
57,53,1200,1438
57,54,839,925
57,55,1548,1761
57,56,1506,1731
57,57,0,0
57,58,1282,1464
57,59,208,240
57,60,671,782
57,61,1124,1312
57,62,1036,1194
57,63,1854,2127
57,64,889,1065
57,65,838,941
57,66,724,798
57,67,1127,1360
57,68,577,630
57,69,1022,1181
57,70,951,1099
57,71,469,555
57,72,1054,1219
57,73,1025,1188
57,74,1153,1242
58,1,796,871
58,3,1991,2261
58,4,1127,1257
58,5,2402,2706
58,6,1633,1845
58,7,242,217
58,8,34,25
58,9,951,1038
58,10,685,728
58,12,2054,2332
58,13,847,919
58,14,539,582
58,15,1151,1285
58,16,1412,1554
58,17,547,566
58,18,1123,1282
58,19,617,630
58,20,308,307
58,21,292,262
58,22,1047,1080
58,23,1259,1339
58,24,847,932
58,25,913,981
58,26,1874,2088
58,27,1495,1679
58,28,2322,2626
58,29,495,464
58,30,164,132
58,31,1710,1829
58,32,367,375
58,33,591,620
58,34,1549,1745
58,35,482,525
58,36,1587,1680
58,37,2484,2835
58,38,269,253
58,39,260,263
58,40,620,654
58,41,1510,1706
58,42,612,647
58,43,1813,2007
58,44,1896,2076
58,45,422,437
58,46,478,500
58,47,2479,2834
58,48,141,137
58,49,349,317
58,50,994,1094
58,51,1807,2050
58,52,117,102
58,53,2347,2712
58,54,681,759
58,55,301,309
58,56,2478,2875
58,57,1278,1464
58,58,0,0
58,59,1342,1544
58,60,698,772
58,61,1024,1186
58,62,526,583
58,63,2431,2821
58,64,2068,2342
58,65,1054,1167
58,66,1511,1726
58,67,2364,2695
58,68,807,886
58,69,390,428
58,70,872,1002
58,71,1013,1125
58,72,2136,2472
58,73,383,397
58,74,1849,2138
59,1,651,746
59,3,1082,1220
59,4,513,479
59,5,1435,1694
59,6,965,1028
59,7,1544,1746
59,8,1328,1525
59,9,526,598
59,10,799,896
59,12,1577,1757
59,13,1050,1167
59,14,1007,1096
59,15,943,1079
59,16,847,948
59,17,952,1073
59,18,296,303
59,19,1932,2163
59,20,1215,1369
59,21,1586,1794
59,22,1415,1473
59,23,1317,1444
59,24,629,692
59,25,711,702
59,26,1510,1668
59,27,1062,1194
59,28,1508,1741
59,29,1810,1997
59,30,1431,1642
59,31,853,892
59,32,1662,1893
59,33,937,1033
59,34,1351,1469
59,35,1058,1162
59,36,767,774
59,37,2007,2260
59,38,1229,1399
59,39,1574,1796
59,40,841,952
59,41,1185,1325
59,42,886,988
59,43,640,703
59,44,1347,1392
59,45,1737,1970
59,46,965,1089
59,47,2048,2312
59,48,1225,1412
59,49,1213,1311
59,50,1215,1359
59,51,1330,1475
59,52,1434,1635
59,53,1285,1548
59,54,988,1085
59,55,1616,1842
59,56,1610,1927
59,57,211,241
59,58,1350,1546
59,59,0,0
59,60,681,797
59,61,1000,1187
59,62,1179,1311
59,63,2055,2362
59,64,974,1174
59,65,1039,1180
59,66,925,1033
59,67,1212,1469
59,68,756,780
59,69,1165,1298
59,70,827,975
59,71,673,746
59,72,1242,1466
59,73,1035,1201
59,74,1354,1478
60,1,103,100
60,3,1504,1728
60,4,582,630
60,5,1924,2229
60,6,1321,1521
60,7,907,996
60,8,678,751
60,9,258,268
60,10,124,101
60,12,1819,2065
60,13,782,874
60,14,499,544
60,15,1013,1160
60,16,1101,1230
60,17,343,361
60,18,481,552
60,19,1291,1394
60,20,592,636
60,21,949,1044
60,22,1060,1104
60,23,1201,1301
60,24,286,302
60,25,530,529
60,26,1724,1904
60,27,1260,1411
60,28,1943,2237
60,29,1169,1228
60,30,794,892
60,31,1275,1370
60,32,1025,1143
60,33,262,237
60,34,1478,1666
60,35,508,571
60,36,1178,1231
60,37,2249,2567
60,38,606,666
60,39,933,1027
60,40,166,157
60,41,1343,1542
60,42,210,185
60,43,1203,1328
60,44,1621,1764
60,45,1096,1202
60,46,356,377
60,47,2290,2619
60,48,574,640
60,49,580,568
60,50,940,1062
60,51,1572,1782
60,52,790,866
60,53,1860,2179
60,54,628,716
60,55,975,1073
60,56,2129,2474
60,57,671,784
60,58,700,772
60,59,676,796
60,60,0,0
60,61,556,663
60,62,629,720
60,63,2282,2637
