"Kansas City","Missouri",39.10,-94.58,"MCI"
"Las Vegas","Nevada",36.18,-115.14,"LAS"
"Raleigh","North Carolina",35.82,-78.64,"RDU"
"Salt Lake City","Utah",40.75,-111.88,"SLC"
